Apprentice/trainee status,Year total,2019,2020,2021,2022,2023,SEIFA,Age Group,Previous highest education level
Apprentice or trainee,90,25,20,15,20,10,Quintile 2,20 to 24 years,Did not go to school
Not an apprentice or trainee,855,245,260,160,100,90,Quintile 2,20 to 24 years,Did not go to school
Apprentice or trainee,"1,380",230,210,275,370,290,Quintile 3,20 to 24 years,Bachelor degree / Higher degree level
Not an apprentice or trainee,"5,590",770,"1,435","1,285","1,035","1,065",Quintile 3,20 to 24 years,Bachelor degree / Higher degree level
Apprentice or trainee,330,70,50,70,75,60,Quintile 3,20 to 24 years,Advanced diploma / Associate degree
Not an apprentice or trainee,810,185,165,170,145,150,Quintile 3,20 to 24 years,Advanced diploma / Associate degree
Apprentice or trainee,"2,130",410,350,410,510,455,Quintile 3,20 to 24 years,Diploma
Not an apprentice or trainee,"6,715","1,265","1,495","1,535","1,270","1,155",Quintile 3,20 to 24 years,Diploma
Apprentice or trainee,"2,275",445,375,445,545,460,Quintile 3,20 to 24 years,Certificate IV
Not an apprentice or trainee,"9,280","1,720","1,875","2,135","1,760","1,795",Quintile 3,20 to 24 years,Certificate IV
Apprentice or trainee,"18,150","3,325","3,165","3,700","4,140","3,820",Quintile 3,20 to 24 years,Certificate III
Not an apprentice or trainee,"34,215","6,590","7,150","7,770","6,600","6,110",Quintile 3,20 to 24 years,Certificate III
Apprentice or trainee,"73,620","12,655","12,790","14,710","17,780","15,680",Quintile 3,20 to 24 years,Year 12
Not an apprentice or trainee,"68,825","12,810","14,375","14,845","13,390","13,405",Quintile 3,20 to 24 years,Year 12
Apprentice or trainee,"15,210","2,675","2,670","3,090","3,615","3,160",Quintile 3,20 to 24 years,Year 11
Not an apprentice or trainee,"13,110","2,745","2,760","2,895","2,365","2,350",Quintile 3,20 to 24 years,Year 11
Apprentice or trainee,"2,610",475,435,550,590,560,Quintile 3,20 to 24 years,Certificate II
Not an apprentice or trainee,"2,815",745,595,565,480,430,Quintile 3,20 to 24 years,Certificate II
Apprentice or trainee,"13,090","2,090","2,215","2,595","3,175","3,015",Quintile 3,20 to 24 years,Year 10
Not an apprentice or trainee,"13,090","2,785","2,620","2,890","2,435","2,360",Quintile 3,20 to 24 years,Year 10
Apprentice or trainee,75,15,5,15,20,20,Quintile 3,20 to 24 years,Certificate I
Not an apprentice or trainee,230,75,50,40,35,30,Quintile 3,20 to 24 years,Certificate I
Apprentice or trainee,"2,110",340,315,425,520,510,Quintile 3,20 to 24 years,Year 9 or lower
Not an apprentice or trainee,"3,875",935,750,780,700,710,Quintile 3,20 to 24 years,Year 9 or lower
Apprentice or trainee,100,30,10,15,30,15,Quintile 3,20 to 24 years,Did not go to school
Not an apprentice or trainee,360,85,75,65,55,75,Quintile 3,20 to 24 years,Did not go to school
Apprentice or trainee,"1,505",285,245,305,370,300,Quintile 4,20 to 24 years,Bachelor degree / Higher degree level
Not an apprentice or trainee,"5,525",750,"1,375","1,310","1,060","1,025",Quintile 4,20 to 24 years,Bachelor degree / Higher degree level
Apprentice or trainee,295,55,60,70,55,50,Quintile 4,20 to 24 years,Advanced diploma / Associate degree
Not an apprentice or trainee,935,165,190,220,180,175,Quintile 4,20 to 24 years,Advanced diploma / Associate degree
Apprentice or trainee,"2,275",435,390,435,555,455,Quintile 4,20 to 24 years,Diploma
Not an apprentice or trainee,"6,660","1,170","1,425","1,600","1,250","1,220",Quintile 4,20 to 24 years,Diploma
Apprentice or trainee,"2,075",415,340,415,490,420,Quintile 4,20 to 24 years,Certificate IV
Not an apprentice or trainee,"8,265","1,565","1,670","1,875","1,580","1,570",Quintile 4,20 to 24 years,Certificate IV
Apprentice or trainee,"15,380","2,740","2,720","3,130","3,615","3,170",Quintile 4,20 to 24 years,Certificate III
Not an apprentice or trainee,"27,380","5,075","5,610","6,385","5,370","4,940",Quintile 4,20 to 24 years,Certificate III
Apprentice or trainee,"67,825","11,680","11,735","13,520","16,215","14,675",Quintile 4,20 to 24 years,Year 12
Not an apprentice or trainee,"62,975","11,680","13,420","13,480","12,395","12,000",Quintile 4,20 to 24 years,Year 12
Apprentice or trainee,"11,980","2,280","2,070","2,330","2,745","2,555",Quintile 4,20 to 24 years,Year 11
Not an apprentice or trainee,"9,935","2,060","1,995","2,210","1,815","1,855",Quintile 4,20 to 24 years,Year 11
Apprentice or trainee,"1,900",350,365,380,430,380,Quintile 4,20 to 24 years,Certificate II
Not an apprentice or trainee,"2,020",490,420,445,315,350,Quintile 4,20 to 24 years,Certificate II
Apprentice or trainee,"9,420","1,620","1,550","1,860","2,230","2,155",Quintile 4,20 to 24 years,Year 10
Not an apprentice or trainee,"8,970","1,795","1,800","2,015","1,655","1,705",Quintile 4,20 to 24 years,Year 10
Apprentice or trainee,45,15,15,10,5,5,Quintile 4,20 to 24 years,Certificate I
Not an apprentice or trainee,200,45,50,50,25,25,Quintile 4,20 to 24 years,Certificate I
Apprentice or trainee,"1,260",205,190,260,290,320,Quintile 4,20 to 24 years,Year 9 or lower
Not an apprentice or trainee,"2,930",545,505,675,545,660,Quintile 4,20 to 24 years,Year 9 or lower
Apprentice or trainee,65,20,15,10,10,10,Quintile 4,20 to 24 years,Did not go to school
Not an apprentice or trainee,215,60,50,25,45,30,Quintile 4,20 to 24 years,Did not go to school
Apprentice or trainee,"1,700",345,285,375,395,295,Quintile 5: least disadvantaged,20 to 24 years,Bachelor degree / Higher degree level
Not an apprentice or trainee,"6,800",865,"2,000","1,520","1,220","1,195",Quintile 5: least disadvantaged,20 to 24 years,Bachelor degree / Higher degree level
Apprentice or trainee,270,60,50,55,70,40,Quintile 5: least disadvantaged,20 to 24 years,Advanced diploma / Associate degree
Not an apprentice or trainee,825,170,160,180,155,155,Quintile 5: least disadvantaged,20 to 24 years,Advanced diploma / Associate degree
Apprentice or trainee,"2,015",350,355,410,470,430,Quintile 5: least disadvantaged,20 to 24 years,Diploma
Not an apprentice or trainee,"6,335","1,155","1,345","1,570","1,160","1,105",Quintile 5: least disadvantaged,20 to 24 years,Diploma
Apprentice or trainee,"1,725",380,315,330,355,345,Quintile 5: least disadvantaged,20 to 24 years,Certificate IV
Not an apprentice or trainee,"6,890","1,325","1,440","1,545","1,300","1,280",Quintile 5: least disadvantaged,20 to 24 years,Certificate IV
Apprentice or trainee,"10,835","2,160","2,110","2,135","2,330","2,105",Quintile 5: least disadvantaged,20 to 24 years,Certificate III
Not an apprentice or trainee,"20,025","3,685","4,175","4,515","3,970","3,675",Quintile 5: least disadvantaged,20 to 24 years,Certificate III
Apprentice or trainee,"54,160","9,575","9,640","10,640","12,805","11,495",Quintile 5: least disadvantaged,20 to 24 years,Year 12
Not an apprentice or trainee,"52,630","9,920","11,495","11,145","10,225","9,845",Quintile 5: least disadvantaged,20 to 24 years,Year 12
Apprentice or trainee,"7,260","1,380","1,295","1,450","1,645","1,485",Quintile 5: least disadvantaged,20 to 24 years,Year 11
Not an apprentice or trainee,"6,760","1,540","1,510","1,310","1,235","1,165",Quintile 5: least disadvantaged,20 to 24 years,Year 11
Apprentice or trainee,"1,130",245,205,225,235,215,Quintile 5: least disadvantaged,20 to 24 years,Certificate II
Not an apprentice or trainee,"1,370",275,260,285,255,295,Quintile 5: least disadvantaged,20 to 24 years,Certificate II
Apprentice or trainee,"6,000","1,045","1,090","1,140","1,425","1,300",Quintile 5: least disadvantaged,20 to 24 years,Year 10
Not an apprentice or trainee,"6,725","1,665","1,455","1,200","1,235","1,175",Quintile 5: least disadvantaged,20 to 24 years,Year 10
Apprentice or trainee,30,5,5,5,10,5,Quintile 5: least disadvantaged,20 to 24 years,Certificate I
Not an apprentice or trainee,135,35,35,30,25,15,Quintile 5: least disadvantaged,20 to 24 years,Certificate I
Apprentice or trainee,780,130,95,140,205,210,Quintile 5: least disadvantaged,20 to 24 years,Year 9 or lower
Not an apprentice or trainee,"2,825",995,565,380,400,490,Quintile 5: least disadvantaged,20 to 24 years,Year 9 or lower
Apprentice or trainee,40,10,10,10,10,10,Quintile 5: least disadvantaged,20 to 24 years,Did not go to school
Not an apprentice or trainee,455,185,115,45,55,50,Quintile 5: least disadvantaged,20 to 24 years,Did not go to school
Apprentice or trainee,35,5,5,5,10,15,Quintile 1: most disadvantaged,15 to 19 years,Bachelor degree / Higher degree level
Not an apprentice or trainee,145,15,25,35,25,45,Quintile 1: most disadvantaged,15 to 19 years,Bachelor degree / Higher degree level
Apprentice or trainee,20,,5,5,5,5,Quintile 1: most disadvantaged,15 to 19 years,Advanced diploma / Associate degree
Not an apprentice or trainee,100,30,25,15,15,10,Quintile 1: most disadvantaged,15 to 19 years,Advanced diploma / Associate degree
Apprentice or trainee,210,35,45,55,40,40,Quintile 1: most disadvantaged,15 to 19 years,Diploma
Not an apprentice or trainee,1225,295,240,275,185,225,Quintile 1: most disadvantaged,15 to 19 years,Diploma
Apprentice or trainee,325,50,50,65,70,90,Quintile 1: most disadvantaged,15 to 19 years,Certificate IV
Not an apprentice or trainee,2685,645,510,510,465,555,Quintile 1: most disadvantaged,15 to 19 years,Certificate IV
Apprentice or trainee,6330,1215,1110,1360,1400,1250,Quintile 1: most disadvantaged,15 to 19 years,Certificate III
Not an apprentice or trainee,16645,3635,3325,3490,3105,3090,Quintile 1: most disadvantaged,15 to 19 years,Certificate III
Apprentice or trainee,29970,5965,5200,6405,6750,5650,Quintile 1: most disadvantaged,15 to 19 years,Year 12
Not an apprentice or trainee,54920,11820,10990,11580,10280,10250,Quintile 1: most disadvantaged,15 to 19 years,Year 12
Apprentice or trainee,19415,3285,3035,3985,4790,4320,Quintile 1: most disadvantaged,15 to 19 years,Year 11
Not an apprentice or trainee,41970,7980,7655,9020,8470,8845,Quintile 1: most disadvantaged,15 to 19 years,Year 11
Apprentice or trainee,3030,530,495,620,715,675,Quintile 1: most disadvantaged,15 to 19 years,Certificate II
Not an apprentice or trainee,6885,1515,1230,1370,1260,1510,Quintile 1: most disadvantaged,15 to 19 years,Certificate II
Apprentice or trainee,36570,6335,5920,7030,8495,8790,Quintile 1: most disadvantaged,15 to 19 years,Year 10
Not an apprentice or trainee,106865,21750,19655,21830,21735,21890,Quintile 1: most disadvantaged,15 to 19 years,Year 10
Apprentice or trainee,210,55,30,45,40,40,Quintile 1: most disadvantaged,15 to 19 years,Certificate I
Not an apprentice or trainee,820,190,175,175,155,125,Quintile 1: most disadvantaged,15 to 19 years,Certificate I
Apprentice or trainee,50,5,5,10,15,15,Quintile 1: most disadvantaged,15 to 19 years,Did not go to school
Not an apprentice or trainee,725,160,120,120,150,175,Quintile 1: most disadvantaged,15 to 19 years,Did not go to school
Apprentice or trainee,75,10,10,15,20,15,Quintile 2,15 to 19 years,Bachelor degree / Higher degree level
Not an apprentice or trainee,150,20,20,50,30,30,Quintile 2,15 to 19 years,Bachelor degree / Higher degree level
Apprentice or trainee,15,5,5,5,5,5,Quintile 2,15 to 19 years,Advanced diploma / Associate degree
Not an apprentice or trainee,80,25,10,15,15,15,Quintile 2,15 to 19 years,Advanced diploma / Associate degree
Apprentice or trainee,225,35,45,55,40,50,Quintile 2,15 to 19 years,Diploma
Not an apprentice or trainee,1110,235,270,225,175,210,Quintile 2,15 to 19 years,Diploma
Apprentice or trainee,375,85,50,70,95,70,Quintile 2,15 to 19 years,Certificate IV
Not an apprentice or trainee,2770,680,605,555,440,490,Quintile 2,15 to 19 years,Certificate IV
Apprentice or trainee,7015,1295,1305,1480,1575,1360,Quintile 2,15 to 19 years,Certificate III
Not an apprentice or trainee,15915,3550,3355,3290,2725,2995,Quintile 2,15 to 19 years,Certificate III
Apprentice or trainee,34455,6915,6175,7125,7690,6550,Quintile 2,15 to 19 years,Year 12
Not an apprentice or trainee,47955,10035,10165,9880,8920,8955,Quintile 2,15 to 19 years,Year 12
Apprentice or trainee,23660,4280,3975,4720,5670,5015,Quintile 2,15 to 19 years,Year 11
Not an apprentice or trainee,37345,7480,7100,7840,7480,7450,Quintile 2,15 to 19 years,Year 11
Apprentice or trainee,3735,720,615,750,875,775,Quintile 2,15 to 19 years,Certificate II
Not an apprentice or trainee,6840,1460,1300,1335,1260,1480,Quintile 2,15 to 19 years,Certificate II
Apprentice or trainee,42930,7280,6995,8175,10075,10400,Quintile 2,15 to 19 years,Year 10
Not an apprentice or trainee,97430,20165,18770,19765,18830,19900,Quintile 2,15 to 19 years,Year 10
Apprentice or trainee,215,40,35,40,45,60,Quintile 2,15 to 19 years,Certificate I
Not an apprentice or trainee,730,155,125,145,130,175,Quintile 2,15 to 19 years,Certificate I
Apprentice or trainee,60,10,5,15,10,20,Quintile 2,15 to 19 years,Did not go to school
Not an apprentice or trainee,340,110,85,55,35,60,Quintile 2,15 to 19 years,Did not go to school
Apprentice or trainee,70,10,10,20,15,15,Quintile 3,15 to 19 years,Bachelor degree / Higher degree level
Not an apprentice or trainee,165,35,30,35,35,30,Quintile 3,15 to 19 years,Bachelor degree / Higher degree level
Apprentice or trainee,15,5,5,,5,,Quintile 3,15 to 19 years,Advanced diploma / Associate degree
Not an apprentice or trainee,95,25,25,15,15,15,Quintile 3,15 to 19 years,Advanced diploma / Associate degree
Apprentice or trainee,395,75,65,105,75,70,Quintile 3,15 to 19 years,Diploma
Not an apprentice or trainee,1605,365,335,370,255,280,Quintile 3,15 to 19 years,Diploma
Apprentice or trainee,520,110,105,95,110,95,Quintile 3,15 to 19 years,Certificate IV
Not an apprentice or trainee,3430,735,760,595,620,715,Quintile 3,15 to 19 years,Certificate IV
Apprentice or trainee,8305,1590,1500,1725,1800,1685,Quintile 3,15 to 19 years,Certificate III
Not an apprentice or trainee,17550,3530,3670,3785,3305,3260,Quintile 3,15 to 19 years,Certificate III
Apprentice or trainee,38445,7740,7060,8060,8480,7105,Quintile 3,15 to 19 years,Year 12
Not an apprentice or trainee,50460,10405,10630,10115,9385,9925,Quintile 3,15 to 19 years,Year 12
Apprentice or trainee,24290,4260,3975,4800,5900,5350,Quintile 3,15 to 19 years,Year 11
Not an apprentice or trainee,35760,7345,6935,7255,6925,7300,Quintile 3,15 to 19 years,Year 11
Apprentice or trainee,4465,825,720,905,1020,995,Quintile 3,15 to 19 years,Certificate II
Not an apprentice or trainee,6780,1380,1355,1430,1225,1390,Quintile 3,15 to 19 years,Certificate II
Apprentice or trainee,44895,7495,7245,8675,10705,10775,Quintile 3,15 to 19 years,Year 10
Not an apprentice or trainee,95590,18985,18350,19455,19000,19805,Quintile 3,15 to 19 years,Year 10
Apprentice or trainee,225,40,40,55,50,45,Quintile 3,15 to 19 years,Certificate I
Not an apprentice or trainee,795,200,165,150,120,155,Quintile 3,15 to 19 years,Certificate I
Apprentice or trainee,50,10,5,10,10,15,Quintile 3,15 to 19 years,Did not go to school
Not an apprentice or trainee,215,50,40,35,45,50,Quintile 3,15 to 19 years,Did not go to school
Apprentice or trainee,100,25,5,15,20,35,Quintile 4,15 to 19 years,Bachelor degree / Higher degree level
Not an apprentice or trainee,170,20,25,35,45,40,Quintile 4,15 to 19 years,Bachelor degree / Higher degree level
Apprentice or trainee,40,5,5,10,15,10,Quintile 4,15 to 19 years,Advanced diploma / Associate degree
Not an apprentice or trainee,145,25,35,30,25,20,Quintile 4,15 to 19 years,Advanced diploma / Associate degree
Apprentice or trainee,530,85,90,120,130,110,Quintile 4,15 to 19 years,Diploma
Not an apprentice or trainee,1990,430,435,420,355,355,Quintile 4,15 to 19 years,Diploma
Apprentice or trainee,430,65,80,95,95,90,Quintile 4,15 to 19 years,Certificate IV
Not an apprentice or trainee,3265,695,675,605,610,685,Quintile 4,15 to 19 years,Certificate IV
Apprentice or trainee,7600,1415,1445,1570,1650,1520,Quintile 4,15 to 19 years,Certificate III
Not an apprentice or trainee,15455,3025,3155,3240,3135,2905,Quintile 4,15 to 19 years,Certificate III
Apprentice or trainee,34760,6755,6235,7230,7880,6660,Quintile 4,15 to 19 years,Year 12
Not an apprentice or trainee,46435,9840,9825,9260,8785,8725,Quintile 4,15 to 19 years,Year 12
Apprentice or trainee,19895,3485,3280,3925,4800,4405,Quintile 4,15 to 19 years,Year 11
Not an apprentice or trainee,28555,5840,5930,5730,5470,5590,Quintile 4,15 to 19 years,Year 11
Apprentice or trainee,3420,650,560,690,775,740,Quintile 4,15 to 19 years,Certificate II
Not an apprentice or trainee,4520,960,985,875,825,875,Quintile 4,15 to 19 years,Certificate II
Apprentice or trainee,34915,6020,5750,6580,8170,8400,Quintile 4,15 to 19 years,Year 10
Not an apprentice or trainee,73180,14785,13955,14700,14480,15255,Quintile 4,15 to 19 years,Year 10
Apprentice or trainee,150,35,25,25,30,35,Quintile 4,15 to 19 years,Certificate I
Not an apprentice or trainee,840,205,160,160,160,155,Quintile 4,15 to 19 years,Certificate I
Apprentice or trainee,35,15,5,5,5,5,Quintile 4,15 to 19 years,Did not go to school
Not an apprentice or trainee,175,35,45,25,35,35,Quintile 4,15 to 19 years,Did not go to school
Apprentice or trainee,70,15,15,20,10,15,Quintile 5: least disadvantaged,15 to 19 years,Bachelor degree / Higher degree level
Not an apprentice or trainee,140,15,15,45,30,30,Quintile 5: least disadvantaged,15 to 19 years,Bachelor degree / Higher degree level
Apprentice or trainee,15,5,5,5,5,,Quintile 5: least disadvantaged,15 to 19 years,Advanced diploma / Associate degree
Not an apprentice or trainee,115,30,40,10,20,15,Quintile 5: least disadvantaged,15 to 19 years,Advanced diploma / Associate degree
Apprentice or trainee,415,95,75,105,75,70,Quintile 5: least disadvantaged,15 to 19 years,Diploma
Not an apprentice or trainee,1900,435,410,400,310,340,Quintile 5: least disadvantaged,15 to 19 years,Diploma
Apprentice or trainee,365,70,65,80,90,65,Quintile 5: least disadvantaged,15 to 19 years,Certificate IV
Not an apprentice or trainee,3105,690,660,570,555,635,Quintile 5: least disadvantaged,15 to 19 years,Certificate IV
Apprentice or trainee,5150,990,1040,1020,1105,1000,Quintile 5: least disadvantaged,15 to 19 years,Certificate III
Not an apprentice or trainee,11830,2415,2470,2470,2195,2280,Quintile 5: least disadvantaged,15 to 19 years,Certificate III
Apprentice or trainee,28560,5595,5165,5925,6415,5455,Quintile 5: least disadvantaged,15 to 19 years,Year 12
Not an apprentice or trainee,40600,8165,8870,7975,7870,7725,Quintile 5: least disadvantaged,15 to 19 years,Year 12
Apprentice or trainee,12515,2190,2105,2410,3020,2795,Quintile 5: least disadvantaged,15 to 19 years,Year 11
Not an apprentice or trainee,19865,3955,3765,3975,4105,4065,Quintile 5: least disadvantaged,15 to 19 years,Year 11
Apprentice or trainee,1780,365,315,350,380,365,Quintile 5: least disadvantaged,15 to 19 years,Certificate II
Not an apprentice or trainee,2980,590,615,580,565,630,Quintile 5: least disadvantaged,15 to 19 years,Certificate II
Apprentice or trainee,23415,4190,4100,4360,5500,5260,Quintile 5: least disadvantaged,15 to 19 years,Year 10
Not an apprentice or trainee,57585,11470,11030,11470,11840,11775,Quintile 5: least disadvantaged,15 to 19 years,Year 10
Apprentice or trainee,90,10,15,20,20,20,Quintile 5: least disadvantaged,15 to 19 years,Certificate I
Not an apprentice or trainee,325,80,85,65,45,50,Quintile 5: least disadvantaged,15 to 19 years,Certificate I
Apprentice or trainee,20,5,,5,5,5,Quintile 5: least disadvantaged,15 to 19 years,Did not go to school
Not an apprentice or trainee,130,40,40,30,10,15,Quintile 5: least disadvantaged,15 to 19 years,Did not go to school
